Id,Name,Description,Weight,Image,IsCustom,IsUnidentified,Category_Id
1,Guanto d'arme,,0.5,,0,0,1
2,Guanto d'arme chiodato,,0.5,,0,0,1
3,Pugnale,,0.5,,0,0,1
4,Pugnale da mischia,,0.5,,0,0,1
5,Falcetto,,1.0,,0,0,1
6,Mazza leggera,,2.0,,0,0,1
7,Lancia corta,,1.5,,0,0,1
8,Mazza pesante,,4.0,,0,0,1
9,Morning star,,3.0,,0,0,1
10,Randello,,1.5,,0,0,1
11,Bastone ferrato,,2.0,,0,0,1
12,Lancia,,3.0,,0,0,1
13,Lancia lunga,,4.5,,0,0,1
14,Balestra leggera,,2.0,,0,0,1
15,Quadrelli (10),,0.5,,0,0,1
16,Balestra pesante,,4.0,,0,0,1
17,Dardo,,0.25,,0,0,1
18,Fionda,,0.0,,0,0,1
19,Proiettili per fionda (10),,2.5,,0,0,1
20,Giavellotto,,1.0,,0,0,1
21,Armatura chiodata,,0.0,,0,0,1
22,Ascia,,1.5,,0,0,1
23,Ascia da lancio,,1.0,,0,0,1
24,Kukri,,1.0,,0,0,1
25,Manganello,,1.0,,0,0,1
26,Martello leggero,,1.0,,0,0,1
27,Piccone leggero,,1.5,,0,0,1
28,Scudo chiodato leggero,,0.0,,0,0,1
29,Scudo leggero,,0.0,,0,0,1
30,Spada corta ,,1.0,,0,0,1
31,Ascia da battaglia,,3.0,,0,0,1
32,Martello da guerra,,2.5,,0,0,1
33,Mazzafrusto,,2.5,,0,0,1
34,Piccone pesante,,3.0,,0,0,1
35,Scimitarra,,2.0,,0,0,1
36,Scudo chidato pesante,,0.0,,0,0,1
37,Scudo pesante,,0.0,,0,0,1
38,Spada lunga,,2.0,,0,0,1
39,Stocco,,1.0,,0,0,1
40,Tridente,,2.0,,0,0,1
