Id,Strength,Light,Medium,Heavy
1,1,1.5,3.0,5.0
2,2,3.0,6.5,10.0
3,3,5.0,10.0,15.0
4,4,6.5,13.0,20.0
5,5,8.0,16.5,25.0
6,6,10.0,20.0,30.0
7,7,11.5,23.0,35.0
8,8,13.0,26.5,40.0
9,9,15.0,30.0,45.0
10,10,16.5,33.0,50.0
11,11,19.0,38.0,57.5
12,12,21.5,43.0,65.0
13,13,25.0,50.0,75.0
14,14,29.0,58.0,87.5
15,15,33.0,66.5,100.0
16,16,38.0,76.5,115.0
17,17,43.0,86.5,130.0
18,18,50.0,100.0,150.0
19,19,58.0,116.5,175.0
20,20,66.5,133.0,200.0
21,21,76.5,153.0,230.0
22,22,86.5,173.0,260.0
23,23,100.0,200.0,300.0
24,24,116.5,233.0,350.0
25,25,133.0,266.5,400.0
26,26,153.0,306.5,460.0
27,27,173.0,346.5,520.0
28,28,200.0,400.0,600.0
29,29,233.0,466.5,700.0
